	est.beta	est.upper	est.lower	alpha	beta
1	10.47870694	10.76947718	10.18793669	-1.00E-04	paste(beta[1])
2	2.076872133	2.224680431	1.92906383	-1.00E-04	paste(beta[2])
3	-0.513126465	-0.127293462	-0.89895947	-1.00E-04	paste(beta[3])
4	-0.02665159	0.382488934	-0.43579211	-1.00E-04	paste(beta[4])
5	5.971242552	6.384195556	5.55828955	-1.00E-04	paste(beta[5])
6	-0.014519328	-0.002398896	-0.02663976	-1.00E-04	paste(beta[6])
7	-2.66424934	-2.147033375	-3.1814653	-1.00E-04	paste(beta[7])
8	-0.634113682	-0.097874703	-1.17035266	-1.00E-04	paste(beta[8])
9	10.51074686	10.79762011	10.22387361	-5.00E-04	paste(beta[1])
10	2.060040788	2.202718871	1.9173627	-5.00E-04	paste(beta[2])
11	-0.557264091	-0.17775535	-0.93677283	-5.00E-04	paste(beta[3])
12	0.072048004	0.476292722	-0.33219671	-5.00E-04	paste(beta[4])
13	5.919792406	6.335367108	5.5042177	-5.00E-04	paste(beta[5])
14	-0.015415012	-0.003311567	-0.02751846	-5.00E-04	paste(beta[6])
15	-2.684929104	-2.163593691	-3.20626452	-5.00E-04	paste(beta[7])
16	-0.674458026	-0.134802612	-1.21411344	-5.00E-04	paste(beta[8])
17	10.48903835	10.77831697	10.19975973	-1.00E-03	paste(beta[1])
18	2.072085827	2.218670593	1.92550106	-1.00E-03	paste(beta[2])
19	-0.563516065	-0.180671495	-0.94636064	-1.00E-03	paste(beta[3])
20	0.006911057	0.412736835	-0.39891472	-1.00E-03	paste(beta[4])
21	5.941526059	6.356354112	5.52669801	-1.00E-03	paste(beta[5])
22	-0.015600544	-0.003483476	-0.02771761	-1.00E-03	paste(beta[6])
23	-2.672888483	-2.152963988	-3.19281298	-1.00E-03	paste(beta[7])
24	-0.647537181	-0.109002371	-1.18607199	-1.00E-03	paste(beta[8])
25	10.49462241	10.78501708	10.20422773	-5.00E-03	paste(beta[1])
26	2.06881968	2.216128988	1.92151037	-5.00E-03	paste(beta[2])
27	-0.553175958	-0.164714972	-0.94163694	-5.00E-03	paste(beta[3])
28	0.052536089	0.463493261	-0.35842108	-5.00E-03	paste(beta[4])
29	5.929729312	6.343004265	5.51645436	-5.00E-03	paste(beta[5])
30	-0.015584507	-0.003350589	-0.02781843	-5.00E-03	paste(beta[6])
31	-2.667010985	-2.14968987	-3.1843321	-5.00E-03	paste(beta[7])
32	-0.66748974	-0.130883793	-1.20409569	-5.00E-03	paste(beta[8])
33	10.48868639	10.77827951	10.19909327	-1.00E-02	paste(beta[1])
34	2.068723159	2.215294461	1.92215186	-1.00E-02	paste(beta[2])
35	-0.535043323	-0.149255503	-0.92083114	-1.00E-02	paste(beta[3])
36	0.016590909	0.424850671	-0.39166885	-1.00E-02	paste(beta[4])
37	5.933947834	6.347917602	5.51997807	-1.00E-02	paste(beta[5])
38	-0.014834732	-0.002628012	-0.02704145	-1.00E-02	paste(beta[6])
39	-2.684165105	-2.165626219	-3.20270399	-1.00E-02	paste(beta[7])
40	-0.657212179	-0.120959745	-1.19346461	-1.00E-02	paste(beta[8])
41	10.51195069	10.7989893	10.22491207	-5.00E-02	paste(beta[1])
42	2.077174313	2.22153066	1.93281797	-5.00E-02	paste(beta[2])
