K	Mechanism	c	m	loglik	acceptance_rate
5	MCAR	1.8	22	-3798.62263603019	0.344669265756985
5	MCAR	2.4	22	-3796.23064980549	0.273228719948018
5	MCAR	3	22	-3799.67066788211	0.234219623131904
5	MAR	1.8	25	-3764.53329878791	0.366036806472573
5	MAR	2.4	25	-3759.69598853571	0.275623404622373
5	MAR	3	25	-3759.89044885647	0.236005198180637
5	MNAR	1.8	26	-3750.64907901597	0.345850552306693
5	MNAR	2.4	26	-3750.31572290368	0.27343534762833
5	MNAR	3	26	-3754.51203837818	0.235782326185835
10	MCAR	1.8	22	-3794.8068491934	0.336775828460039
10	MCAR	2.4	22	-3788.78781506905	0.277650422352177
10	MCAR	3	22	-3796.10658404955	0.229931773879142
10	MAR	1.8	25	-3757.92359032191	0.336775828460039
10	MAR	2.4	25	-3753.52566031229	0.291811565951917
10	MAR	3	25	-3760.63581879355	0.233977482880992
10	MNAR	1.8	26	-3749.77777566659	0.33537166991553
10	MNAR	2.4	26	-3750.27073911093	0.277395711500975
10	MNAR	3	26	-3750.85060247425	0.232352826510721
15	MCAR	1.8	22	-3794.83703315879	0.333409356725146
15	MCAR	2.4	22	-3796.4836628053	0.271340480831709
15	MCAR	3	22	-3795.82901648327	0.228614684860299
15	MAR	1.8	25	-3759.13640361498	0.332368421052632
15	MAR	2.4	25	-3761.17447666724	0.271340480831709
15	MAR	3	25	-3759.9575863654	0.232811108704546
15	MNAR	1.8	26	-3750.50301859362	0.333428200129954
15	MNAR	2.4	26	-3749.26217297804	0.27116179337232
15	MNAR	3	26	-3751.72900849782	0.22904873294347
