structure,mechanism,criterion,UNC_NLME,UNC_tNLME,CS_NLME,CS_tNLME,AR1_NLME,AR1_tNLME,MA1_NLME,MA1_tNLME
Scenario I,MCAR,m,13,14,14,15,14,15,14,15
,,l_max,-4020.590,-3990.292,-4002.926,-3984.908,-3869.282,-3812.131,-3913.507,-3866.398
,,AIC,8067.179000000000,8008.583000000000,8033.853000000000,7999.815,7766.564,7654.262,7855.015,7762.796
,,BIC,8121.466000000000,8067.045000000000,8092.315000000000,8062.453,7825.026,7716.900,7913.477000000000,7825.434
,MAR,m,16,17,17,18,17,18,17,18
,,l_max,-3981.972,-3970.701,-3963.743,-3957.616,-3831.267,-3780.069,-3874.435,-3850.912
,,AIC,7995.943000000000,7975.401000000000,7961.486000000000,7951.232,7696.534,7596.139,7782.870,7737.824
,,BIC,8062.757000000000,8046.391000000000,8032.476000000000,8026.398,7767.524,7671.305,7853.860000000000,7812.990
,MNAR,m,17,18,18,19,18,19,18,19
,,l_max,-3974.699,-3958.321,-3957.461,-3942.099,-3824.484,-3776.784,-3867.489,-3829.473
,,AIC,7983.399000000000,7952.642000000000,7950.923000000000,7922.197,7684.968,7591.568,7770.977,7696.945
,,BIC,8054.388000000000,8027.808000000000,8026.088000000000,8001.539,7760.133,7670.909,7846.143000000000,7776.287
Scenario II,MCAR,m,13,14,14,15,14,15,14,15
,,l_max,-4169.423,-4147.811,-4091.010,-4044.939,-4028.494,-3965.525,-4096.309,-4069.891
,,AIC,8364.846000000000,8323.620999999999,8210.021000000001,8119.879,8084.989,7961.050,8220.618,8169.782
,,BIC,8419.132000000000,8382.084000000001,8268.483000000000,8182.517,8143.451,8023.688,8279.080000000000,8232.420
,MAR,m,16,17,17,18,17,18,17,18
,,l_max,-4130.704,-4113.448,-4057.083,-4008.543,-3998.001,-3929.967,-4068.081,-4035.711
,,AIC,8293.407999999999,8260.896000000001,8148.167000000000,8053.087,8030.002,7895.934,8170.163,8107.422
,,BIC,8360.222000000000,8331.886000000000,8219.156000000001,8128.252,8100.992,7971.100,8241.153000000000,8182.587
,MNAR,m,17,18,18,19,18,19,18,19
,,l_max,-4116.999,-4099.319,-4043.787,-3995.854,-3968.354,-3870.839,-4061.986,-4025.599
,,AIC,8267.996999999999,8234.638000000001,8123.573000000000,8029.708,7972.707,7779.677,8159.972,8089.198
,,BIC,8338.986999999999,8309.804000000000,8198.739000000000,8109.049,8047.873,7859.019,8235.137000000001,8168.539
Scenario III,MCAR,m,20,21,21,22,21,22,21,22
,,l_max,-3863.691,-3818.300,-3869.013,-3825.741,-3828.837,-3788.788,-3847.804,-3803.911
,,AIC,7767.382000000000,7678.600000000000,7780.026000000000,7695.482,7699.673,7621.576,7737.607,7651.822
,,BIC,7850.900000000000,7766.294000000000,7867.720000000000,7787.351,7787.366,7713.445,7825.300000000000,7743.691
,MAR,m,23,24,24,25,24,25,24,25
,,l_max,-3826.286,-3779.965,-3830.802,-3787.461,-3790.712,-3753.526,-3810.256,-3766.335
,,AIC,7698.572000000000,7607.929000000000,7709.604000000000,7624.922,7629.423,7557.051,7668.513,7582.669
,,BIC,7794.617000000000,7708.150000000000,7809.825000000000,7729.319,7729.644,7661.448,7768.734000000000,7687.066
,MNAR,m,24,25,25,26,25,26,25,26
,,l_max,-3819.344,-3770.923,-3823.945,-3781.020,-3783.394,-3750.271,-3805.046,-3755.557
,,AIC,7686.689000000000,7591.846000000000,7697.891000000000,7614.039,7616.789,7552.541,7660.093,7563.113
,,BIC,7786.910000000000,7696.242000000000,7802.287000000000,7722.612,7721.185,7661.114,7764.489000000000,7671.686
