"Parameter","MCAR_Est","MCAR_SE","MCAR_Ratio","MAR_Est","MAR_SE","MAR_Ratio","MNAR_Est","MNAR_SE","MNAR_Ratio"
"beta1 (intercept)",10.649,0.09,118.339,10.645,0.09,118.77,10.633,0.09,117.773
"beta2 (week)",2.028,0.114,17.718,2.045,0.117,17.443,2.005,0.128,15.642
"beta3 (NNRTI)",-1.397,0.117,11.913,-1.398,0.118,11.819,-1.383,0.116,11.896
"beta4 (Trtarm)",-0.119,0.091,1.309,-0.119,0.093,1.279,-0.096,0.092,1.038
"beta5 (intercept)",6.673,0.146,45.632,6.634,0.148,44.827,6.661,0.148,45.094
"beta6 (week)",0.009,0.012,0.727,0.006,0.012,0.527,0.008,0.012,0.689
"beta7 (NNRTI)",-0.098,0.017,5.818,-0.098,0.017,5.744,-0.097,0.018,5.508
"beta8 (Trtarm)",-0.045,0.016,2.827,-0.044,0.016,2.69,-0.048,0.016,3.022
"d11",1.283,0.448,2.862,1.28,0.469,2.729,1.305,0.521,2.503
"d12",-0.091,0.109,0.831,-0.064,0.109,0.586,-0.064,0.101,0.63
"d22",0.233,0.082,2.842,0.248,0.078,3.184,0.239,0.083,2.901
"d13",1.523,0.412,3.7,1.453,0.428,3.396,1.538,0.512,3.004
"d23",-0.034,0.28,0.122,0.021,0.324,0.064,-0.01,0.334,0.031
"d33",3.463,1.174,2.949,3.302,1.17,2.821,3.367,1.383,2.435
"d14",-0.042,0.023,1.873,-0.044,0.024,1.803,-0.044,0.026,1.706
"d24",0.015,0.013,1.11,0.017,0.014,1.177,0.016,0.014,1.167
"d34",-0.023,0.046,0.49,-0.015,0.047,0.326,-0.024,0.055,0.432
"d44",0.015,0.004,3.736,0.016,0.004,3.957,0.015,0.004,3.319
"sigma^2",0.377,0.058,6.534,0.377,0.059,6.416,0.375,0.057,6.62
"phi",0.345,0.087,3.964,0.355,0.087,4.06,0.352,0.096,3.659
"nu",8.512,1.649,5.163,8.185,1.576,5.192,8.054,1.679,4.796
"alpha00 (intercept)",-2.7,0.134,20.149,-4.137,0.255,16.216,-4.994,0.408,12.228
"alpha01 (NNRTI)",,,,0.116,0.164,0.707,-0.043,0.174,0.249
"alpha02 (Trtarm)",,,,-0.192,0.176,1.092,-0.233,0.178,1.308
"alpha1 (y_i,j-1)",,,,0.398,0.058,6.901,0.343,0.058,5.906
"alpha2 (y_ij)",,,,,,,0.287,0.095,3.01
