"","beta1","beta2","beta3","sigma^2","d","nu","alpha00","alpha01","alpha1","alpha2"
"IM SE",0.598,0.116,0.035,1.094,0.917,9.762,7.451,127.785,0.226,0.249
"MC Sd",0.642,0.135,0.031,1.094,1.245,26.499,5.171,4.486,0.344,0.399
"IM SE",0.422,0.082,0.025,0.787,0.663,2.391,1.719,0.774,0.123,0.14
"MC Sd",0.478,0.086,0.024,0.757,0.893,2.539,2.684,0.874,0.22,0.247
"IM SE",0.3,0.058,0.018,0.569,0.469,1.503,1.011,0.487,0.073,0.084
"MC Sd",0.325,0.071,0.02,0.468,0.595,1.539,1.564,0.57,0.116,0.138
"IM SE",0.212,0.041,0.013,0.399,0.338,0.996,0.834,0.35,0.065,0.073
"MC Sd",0.247,0.047,0.013,0.339,0.423,1.009,0.738,0.361,0.052,0.062
"IM SE",0.149,0.029,0.009,0.283,0.241,0.663,0.722,0.249,0.06,0.066
"MC Sd",0.183,0.037,0.009,0.225,0.297,0.635,0.403,0.237,0.033,0.037
"IM SE",0.718,0.121,0.039,1.55,1.006,9.963,3.398,23.2,0.24,0.29
"MC Sd",0.819,0.145,0.039,1.169,1.881,28.479,7.522,2.148,0.567,0.682
"IM SE",0.506,0.085,0.027,0.991,0.728,3.379,1.534,0.594,0.127,0.145
"MC Sd",0.598,0.099,0.025,0.88,1.128,19.862,3.142,0.814,0.246,0.29
"IM SE",0.352,0.06,0.02,0.689,0.524,1.795,0.986,0.363,0.079,0.092
"MC Sd",0.359,0.078,0.019,0.638,0.712,2.186,1.331,0.363,0.109,0.129
"IM SE",0.252,0.043,0.014,0.499,0.391,1.151,0.72,0.255,0.062,0.07
"MC Sd",0.285,0.047,0.015,0.452,0.545,1.204,0.874,0.232,0.075,0.087
"IM SE",0.179,0.03,0.01,0.356,0.309,0.743,0.949,0.169,0.087,0.1
"MC Sd",0.175,0.031,0.009,0.336,0.356,0.821,0.652,0.173,0.053,0.063
"IM SE",0.987,0.14,0.047,2.737,1.215,21.991,3.921,1.003,0.321,0.378
"MC Sd",1.021,0.179,0.044,1.56,5.632,55.775,12.499,2.134,0.936,1.138
"IM SE",0.664,0.098,0.033,1.361,0.889,4.829,1.66,0.528,0.145,0.168
"MC Sd",0.687,0.099,0.03,1.15,1.437,7.548,3.72,0.776,0.334,0.379
"IM SE",0.482,0.069,0.023,1.143,0.681,2.181,1.565,0.376,0.141,0.165
"MC Sd",0.51,0.086,0.024,0.97,1.179,2.891,2.914,0.475,0.259,0.299
"IM SE",0.329,0.047,0.016,0.79,0.676,1.15,1.115,0.232,0.105,0.124
"MC Sd",0.344,0.064,0.016,0.523,0.78,1.522,1.595,0.273,0.135,0.162
"IM SE",0.237,0.034,0.011,0.471,0.277,0.763,0.16,0.161,0.012,0.014
"MC Sd",0.263,0.04,0.013,0.47,0.531,1.173,0.689,0.204,0.062,0.073
