"","NLME","tNLME","NLME","tNLME","NLME","tNLME"
"AIC",1069.43,1051.975,895.69,876.193,693.235,663.369
"(Freq)",10,90,11,89,10,90
"BIC",1080.4,1064.163,906.66,888.382,704.205,675.557
"(Freq)",11,89,12,88,12,88
"MSPE",588.642,588.516,237.761,236.115,124.803,121.47
"(Freq)",47,53,42,58,36,64
"AIC",2167.583,2124.307,1745.089,1707.325,1339.05,1292.775
"(Freq)",0,100,2,98,4,96
"BIC",2184.791,2143.427,1762.297,1726.445,1356.259,1311.896
"(Freq)",1,99,2,98,5,95
"MSPE",564.448,563.912,218.446,215.666,120.072,117.393
"(Freq)",49,51,36,64,29,71
"AIC",4288.925,4204.929,3494.653,3422.337,2639.392,2544.959
"(Freq)",0,100,0,100,0,100
"BIC",4312.371,4230.981,3518.1,3448.388,2662.838,2571.011
"(Freq)",0,100,0,100,0,100
"MSPE",503.481,502.177,217.52,213.654,118.015,114.464
"(Freq)",45,55,25,75,21,79
"AIC",8613.405,8434.325,6990.95,6852.251,5349.111,5176.789
"(Freq)",0,100,0,100,0,100
"BIC",8643.09,8467.308,7020.634,6885.234,5378.796,5209.772
"(Freq)",0,100,0,100,0,100
"MSPE",511.168,510.396,216.854,213.853,121.949,118.289
"(Freq)",43,57,28,72,11,89
"AIC",17226.128,16877.44,13885.282,13596.516,10548.076,10193.217
"(Freq)",0,100,0,100,0,100
"BIC",17243.336,16896.56,13902.49,13615.637,10565.284,10212.337
"(Freq)",0,100,0,100,0,100
"MSPE",505.972,504.513,211.97,209.394,118.775,114.736
"(Freq)",38,62,19,81,1,99
