"","25% MCAR","50% MCAR","75% MCAR","25% MCAR","50% MCAR","75% MCAR","25% MCAR","50% MCAR","75% MCAR"
"AIC",1059.883,1061.716,1051.975,886.876,888.001,876.193,675.715,676.106,663.369
"(Freq)",2,14,84,4,13,83,5,0,95
"BIC",1069.634,1072.686,1064.163,896.627,898.971,888.382,685.466,687.076,675.557
"(Freq)",5,19,76,8,14,78,5,3,92
"AIC",2139.035,2141.873,2124.307,1732.631,1734.815,1707.325,1323.854,1323.485,1292.775
"(Freq)",3,7,90,0,1,99,0,0,100
"BIC",2154.331,2159.081,2143.427,1747.927,1752.024,1726.445,1339.151,1340.693,1311.896
"(Freq)",7,11,82,0,2,98,0,1,99
"AIC",4234.165,4238.546,4204.929,3472.747,3474.011,3422.337,2607.19,2608.124,2544.959
"(Freq)",0,5,95,0,0,100,0,0,100
"BIC",4255.007,4261.993,4230.981,3493.588,3497.458,3448.388,2628.031,2631.571,2571.011
"(Freq)",1,5,94,0,0,100,0,0,100
"AIC",8497.401,8510.702,8434.325,6957.817,6960.215,6852.251,5305.94,5305.816,5176.789
"(Freq)",0,0,100,0,0,100,0,0,100
"BIC",8523.788,8540.386,8467.308,6984.204,6989.9,6885.234,5332.327,5335.501,5209.772
"(Freq)",0,1,99,0,0,100,0,0,100
"AIC",16999.538,17031.539,16877.44,13809.47,13811.584,13596.516,10457.792,10454.788,10193.217
"(Freq)",0,0,100,0,0,100,0,0,100
"BIC",17014.834,17048.748,16896.56,13824.766,13828.793,13615.637,10473.088,10471.997,10212.337
"(Freq)",0,0,100,0,0,100,0,0,100
