"Mechanism","Criterion","UNC_NLME","UNC_tNLME","CS_NLME","CS_tNLME","AR1_NLME","AR1_tNLME","MA1_NLME","MA1_tNLME"
"MCAR","m",20,21,21,22,21,22,21,22
"","ell_max",-3911.498,-3890.884,-3938.83,-3852.671,-3897.846,-3842.921,-3912.703,-3848.46
"","AIC",7862.996,7823.768,7919.66,7749.342,7837.692,7729.841,7867.406,7740.921
"","BIC",7946.513,7911.461,8007.353,7841.211,7925.385,7821.711,7955.099,7832.79
"MAR","m",23,24,24,25,24,25,24,25
"","ell_max",-3874.577,-3853.269,-3900.685,-3814.021,-3859.98,-3805.778,-3882.86,-3829.501
"","AIC",7795.155,7754.538,7849.37,7678.043,7767.959,7661.556,7813.721,7709.002
"","BIC",7891.2,7854.759,7949.591,7782.439,7868.18,7765.953,7913.942,7813.398
"MNAR","m",24,25,25,26,25,26,25,26
"","ell_max",-3864.168,-3833.743,-3895.253,-3809.831,-3855.506,-3801.114,-3858.212,-3818.775
"","AIC",7776.336,7717.486,7840.505,7671.662,7761.013,7654.229,7766.425,7689.55
"","BIC",7876.557,7821.882,7944.902,7780.235,7865.41,7762.801,7870.822,7798.122
