"Parameter","MCAR_Est","MCAR_SE","MCAR_abs_Est_SE","MAR_Est","MAR_SE","MAR_abs_Est_SE","MNAR_Est","MNAR_SE","MNAR_abs_Est_SE"
"beta1 (intercept)",10.583,0.097,109.569,10.583,0.097,109.582,10.582,0.097,108.932
"beta2 (week)",2.008,0.135,14.908,2.008,0.135,14.909,2.01,0.129,15.563
"beta3 (NNRTI)",-1.371,0.124,11.028,-1.371,0.124,11.029,-1.37,0.128,10.659
"beta4 (Trtarm)",-0.119,0.097,1.224,-0.119,0.097,1.224,-0.126,0.097,1.291
"beta5 (intercept)",6.482,0.138,46.815,6.482,0.138,46.821,6.474,0.138,46.887
"beta6 (week)",0.018,0.012,1.429,0.018,0.012,1.429,0.016,0.013,1.276
"beta7 (NNRTI)",-0.089,0.022,4.147,-0.089,0.022,4.149,-0.088,0.022,4.107
"beta8 (Trtarm)",-0.05,0.017,2.971,-0.05,0.017,2.971,-0.055,0.017,3.196
"d11",0.618,0.743,0.832,0.618,0.743,0.832,0.612,0.762,0.804
"d12",-0.028,0.202,0.137,-0.028,0.202,0.137,-0.026,0.214,0.121
"d22",0.324,0.178,1.827,0.324,0.178,1.828,0.33,0.181,1.819
"d13",0.43,0.523,0.821,0.43,0.523,0.821,0.424,0.531,0.799
"d23",0.091,0.276,0.331,0.091,0.276,0.331,0.09,0.269,0.335
"d33",1.156,0.916,1.261,1.156,0.916,1.262,1.144,0.918,1.246
"d14",-0.035,0.029,1.223,-0.035,0.029,1.223,-0.035,0.029,1.216
"d24",0.007,0.02,0.326,0.007,0.02,0.326,0.007,0.02,0.369
"d34",-0.028,0.034,0.82,-0.028,0.034,0.82,-0.027,0.034,0.791
"d44",0.015,0.003,4.344,0.015,0.003,4.344,0.016,0.003,4.604
"sigma^2",0.493,0.106,4.673,0.493,0.106,4.673,0.496,0.107,4.628
"phi",0.516,0.085,6.048,0.516,0.085,6.048,0.518,0.085,6.059
"nu",6.894,1.036,6.655,6.894,1.035,6.661,6.948,1.031,6.739
"alpha00 (intercept)",-2.7,0.134,20.128,-4.114,0.238,17.268,-4.75,0.327,14.529
"alpha01 (NNRTI)",,,,0.137,0.163,0.84,-0.013,0.17,0.074
"alpha02 (Trtarm)",,,,-0.195,0.176,1.11,-0.236,0.177,1.33
"alpha1 (y_i,j-1)",,,,0.388,0.054,7.228,0.337,0.056,5.963
"alpha2 (y_ij)",,,,,,,0.234,0.078,3.002
