"K","Mechanism","Criterion","c = 1.8","c = 2.4","c = 3.0"
"5","MCAR","ell_max",-3798.623,-3796.231,-3799.671
"","","AIC",7641.245,7636.461,7643.341
"","","BIC",7733.114,7728.33,7735.21
"","","Acceptance rate",0.345,0.273,0.234
"","MAR","ell_max",-3764.533,-3759.696,-3759.89
"","","AIC",7579.067,7569.392,7569.781
"","","BIC",7683.463,7673.789,7674.178
"","","Acceptance rate",0.366,0.276,0.236
"","MNAR","ell_max",-3750.649,-3750.316,-3754.512
"","","AIC",7553.298,7552.631,7561.024
"","","BIC",7661.871,7661.204,7669.597
"","","Acceptance rate",0.346,0.273,0.236
"10","MCAR","ell_max",-3794.807,-3788.788,-3796.107
"","","AIC",7633.614,7621.576,7636.213
"","","BIC",7725.483,7713.445,7728.082
"","","Acceptance rate",0.337,0.278,0.23
"","MAR","ell_max",-3757.924,-3753.526,-3760.636
"","","AIC",7565.847,7557.051,7571.272
"","","BIC",7670.244,7661.448,7675.668
"","","Acceptance rate",0.337,0.292,0.234
"","MNAR","ell_max",-3749.778,-3750.271,-3750.851
"","","AIC",7551.556,7552.541,7553.701
"","","BIC",7660.128,7661.114,7662.274
"","","Acceptance rate",0.335,0.277,0.232
"15","MCAR","ell_max",-3794.837,-3796.484,-3795.829
"","","AIC",7633.674,7636.967,7635.658
"","","BIC",7725.543,7728.836,7727.527
"","","Acceptance rate",0.333,0.271,0.229
"","MAR","ell_max",-3759.136,-3761.174,-3759.958
"","","AIC",7568.273,7572.349,7569.915
"","","BIC",7672.669,7676.746,7674.312
"","","Acceptance rate",0.332,0.271,0.233
"","MNAR","ell_max",-3750.503,-3749.262,-3751.729
"","","AIC",7553.006,7550.524,7555.458
"","","BIC",7661.579,7659.097,7664.031
"","","Acceptance rate",0.333,0.271,0.229
